"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Condition","Count"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Spinal cord disease or condition (non-traumatic)","41"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Spinal cord injury (traumatic)","less than 11"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Hip or femur fracture","112"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","Hip or knee replacement, amputation or other bone or joint condition","272"
"013029","HEALTHSOUTH REHABILITATION HOSPITAL OF NORTH AL","107 GOVERNORS DRIVE","","HUNTSVILLE","AL","35801","Madison","(205) 535-2300","4","All other conditions","344"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Stroke","299"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Nervous system disorder (excluding stroke)","267"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Brain disease or condition (non-traumatic)","66"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Brain injury (traumatic)","23"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Spinal cord disease or condition (non-traumatic)","41"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Spinal cord injury (traumatic)","11"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Hip or femur fracture","149"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","Hip or knee replacement, amputation or other bone or joint condition","236"
"013028","HEALTHSOUTH REHABILITATION HOSPITAL OF MONTGOMERY","4465 NARROW LANE RD","","MONTGOMERY","AL","36116","Montgomery","(334) 284-7821","4","All other conditions","380"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Stroke","239"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Nervous system disorder (excluding stroke)","116"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Brain disease or condition (non-traumatic)","408"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Brain injury (traumatic)","63"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Spinal cord disease or condition (non-traumatic)","87"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Spinal cord injury (traumatic)","less than 11"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Hip or femur fracture","75"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","Hip or knee replacement, amputation or other bone or joint condition","189"
"013030","HEALTHSOUTH REHABILITATION HOSPITAL","1736 EAST MAIN STREET","","DOTHAN","AL","36301","Houston","(334) 712-6333","4","All other conditions","96"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Stroke","163"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Nervous system disorder (excluding stroke)","177"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Brain disease or condition (non-traumatic)","63"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Brain injury (traumatic)","22"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Spinal cord disease or condition (non-traumatic)","23"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Spinal cord injury (traumatic)","less than 11"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Hip or femur fracture","105"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","Hip or knee replacement, amputation or other bone or joint condition","168"
"013032","HEALTHSOUTH REHABILITATION HOSPITAL OF GADSDEN","801 GOODYEAR AVE","","GADSDEN","AL","35903","Etowah","(256) 439-5000","4","All other conditions","224"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Stroke","188"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Nervous system disorder (excluding stroke)","103"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Brain disease or condition (non-traumatic)","102"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Brain injury (traumatic)","17"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Spinal cord disease or condition (non-traumatic)","30"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Spinal cord injury (traumatic)","less than 11"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Hip or femur fracture","91"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","Hip or knee replacement, amputation or other bone or joint condition","230"
"013033","REGIONAL REHABILITATION HOSPITAL","3715 HIGHWAY 280","","PHENIX CITY","AL","36869","Russell","(334) 732-2200","4","All other conditions","382"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Stroke","53"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Nervous system disorder (excluding stroke)","14"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Brain disease or condition (non-traumatic)","less than 11"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Brain injury (traumatic)","less than 11"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Spinal cord disease or condition (non-traumatic)","less than 11"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Spinal cord injury (traumatic)","less than 11"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Hip or femur fracture","35"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","Hip or knee replacement, amputation or other bone or joint condition","43"
"01T011","ST. VINCENTS EAST REHABILITATION CENTER","50 MEDICAL PARK EAST DRIVE","","BIRMINGHAM","AL","35235","Jefferson","(205) 838-3672","4","All other conditions","72"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Stroke","25"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Nervous system disorder (excluding stroke)","28"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Brain disease or condition (non-traumatic)","less than 11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Brain injury (traumatic)","less than 11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Spinal cord disease or condition (non-traumatic)","less than 11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Spinal cord injury (traumatic)","less than 11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Hip or femur fracture","11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","Hip or knee replacement, amputation or other bone or joint condition","11"
"01T029","EAMC- LANIER","2000 PEPPERELL PARKWAY.","","OPELIKA","AL","36801","Lee","(502) 596-6346","4","All other conditions","14"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Stroke","100"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Nervous system disorder (excluding stroke)","25"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Brain disease or condition (non-traumatic)","62"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Brain injury (traumatic)","16"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Spinal cord disease or condition (non-traumatic)","58"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Spinal cord injury (traumatic)","13"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Hip or femur fracture","45"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","Hip or knee replacement, amputation or other bone or joint condition","89"
"01T033","SPAIN REHABILITATION CENTER","SRC 223E","","BIRMINGHAM","AL","35249","Jefferson","(205) 934-4940","4","All other conditions","85"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Stroke","168"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Nervous system disorder (excluding stroke)","19"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Brain disease or condition (non-traumatic)","less than 11"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Brain injury (traumatic)","11"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Spinal cord disease or condition (non-traumatic)","21"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Spinal cord injury (traumatic)","less than 11"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Hip or femur fracture","93"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","Hip or knee replacement, amputation or other bone or joint condition","56"
"01T092","NORTHPORT MEDICAL CENTER","809 UNIVERSITY BOULEVARD, EAST","","TUSCALOOSA","AL","35401","Tuscaloosa","(205) 759-7111","4","All other conditions","113"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Stroke","53"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Nervous system disorder (excluding stroke)","27"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Brain disease or condition (non-traumatic)","26"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Brain injury (traumatic)","less than 11"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Spinal cord disease or condition (non-traumatic)","13"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Spinal cord injury (traumatic)","less than 11"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Hip or femur fracture","69"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","Hip or knee replacement, amputation or other bone or joint condition","67"
"01T104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","","BIRMINGHAM","AL","35243","Jefferson","(205) 971-4519","4","All other conditions","40"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Stroke","152"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Nervous system disorder (excluding stroke)","less than 11"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Brain disease or condition (non-traumatic)","14"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Brain injury (traumatic)","17"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Spinal cord disease or condition (non-traumatic)","13"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Spinal cord injury (traumatic)","less than 11"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Hip or femur fracture","24"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","Hip or knee replacement, amputation or other bone or joint condition","65"
"01T113","MOBILE INFIRMARY","POB 2144","","MOBILE","AL","36652","Mobile","(251) 435-3400","4","All other conditions","122"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Stroke","38"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Nervous system disorder (excluding stroke)","less than 11"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Brain disease or condition (non-traumatic)","less than 11"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Brain injury (traumatic)","less than 11"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Spinal cord disease or condition (non-traumatic)","less than 11"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Spinal cord injury (traumatic)","less than 11"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Hip or femur fracture","44"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","Hip or knee replacement, amputation or other bone or joint condition","33"
"01T114","MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT","995 9TH AVENUE SOUTHWEST","","BESSEMER","AL","35022","Jefferson","(205) 481-7287","4","All other conditions","69"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Stroke","103"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Nervous system disorder (excluding stroke)","88"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Brain disease or condition (non-traumatic)","39"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Brain injury (traumatic)","17"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Spinal cord disease or condition (non-traumatic)","30"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Spinal cord injury (traumatic)","less than 11"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Hip or femur fracture","66"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","Hip or knee replacement, amputation or other bone or joint condition","104"
"01T139","AMI BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CTR. DR","","HOMEWOOD","AL","35209","Jefferson","(205) 877-1600","4","All other conditions","124"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Stroke","51"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Nervous system disorder (excluding stroke)","15"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Brain disease or condition (non-traumatic)","less than 11"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Brain injury (traumatic)","less than 11"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Spinal cord disease or condition (non-traumatic)","less than 11"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Spinal cord injury (traumatic)","less than 11"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Hip or femur fracture","25"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","Hip or knee replacement, amputation or other bone or joint condition","31"
"01T144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","MOBILE","AL","36608","Mobile","(502) 596-6346","4","All other conditions","20"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Stroke","99"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Nervous system disorder (excluding stroke)","159"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Brain disease or condition (non-traumatic)","11"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Brain injury (traumatic)","less than 11"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Spinal cord disease or condition (non-traumatic)","14"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Spinal cord injury (traumatic)","less than 11"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Hip or femur fracture","100"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","Hip or knee replacement, amputation or other bone or joint condition","100"
"01T157","JW SOMMER REHABILITATION UNIT","201 AVALON AVE","","MUSCLE SHOALS","AL","35661","Colbert","(256) 386-1687","4","All other conditions","90"
"02T001","PROVIDENCE ALASKA MEDICAL CTR","3200 PROVIDENCE DR.","","ANCHORAGE","AK","99519","Anchorage","(907) 212-8458","10","Stroke","41"
"02T001","PROVIDENCE ALASKA MEDICAL CTR","3200 PROVIDENCE DR.","","ANCHORAGE","AK","99519","Anchorage","(907) 212-8458","10","Nervous system disorder (excluding stroke)","less than 11"
"02T001","PROVIDENCE ALASKA MEDICAL CTR","3200 PROVIDENCE DR.","","ANCHORAGE","AK","99519","Anchorage","(907) 212-8458","10","Brain disease or condition (non-traumatic)","less than 11"
"02T001","PROVIDENCE ALASKA MEDICAL CTR","3200 PROVIDENCE DR.","","ANCHORAGE","AK","99519","Anchorage","(907) 212-8458","10","Brain injury (traumatic)","less than 11"
"02T001","PROVIDENCE ALASKA MEDICAL CTR","3200 PROVIDENCE DR.","","ANCHORAGE","AK","99519","Anchorage","(907) 212-8458","10","Spinal cord disease or condition (non-traumatic)","less than 11"
